num,name,paper,wf1_cagr,wf1_sharpe,wf1_sortino,wf1_mdd,wf1_calmar,wf1_vol,wf1_winrate,wf1_pf,wf1_skew,wf1_tail,wf2_ret,wf2_mdd,wf2_sharpe,beta,alpha,elapsed,wf1_rank,wf2_rank,combined_rank
s47,Leverage Effect Reversal,Black (1976) / Christie (1982),0.03470710173467406,0.20703750345322958,0.08094893609758534,-0.20650877706868898,0.1680659884162201,0.08582854623150825,0.41076487252124644,1.157672810031295,1.0101670689667457,0.0,0.05562603861811577,-0.0038912098328539348,3.201616841880791,0.24862134380323814,-0.0129081166610797,0.1s,34.0,1.0,17.5
s31,MFI Divergence Buy,Quong & Satchell (1993),0.01938734660869801,0.2818749295993854,0.10274607135653127,-0.17390783612899574,0.11148058098036186,0.06016838223429978,0.4192634560906516,1.2153231245882443,-1.6409797547059777,0.0,0.022740379691295498,-0.02197802197802219,1.847950835754024,0.12207163557100079,0.0018973150158300488,0.1s,33.0,5.0,19.0
s26,Gold Crisis Hedge,Erb & Harvey (2013) SSRN 2078535,0.004568163915009693,0.28836550378310327,0.14811779985215565,-0.07649591142480709,0.059717752621328585,0.025701755731897664,0.2813299232736573,1.2200754197383794,3.038797140042403,0.0,0.01548472458147776,-0.0005000000000000505,2.8870219117026292,0.02560205624879448,0.004252414960565411,0.1s,32.0,8.0,20.0
s42,Realized Skewness Premium,Amaya et al. (2015) SSRN 2360394,0.030984889529193538,0.42279964082470844,0.24219698038712723,-0.17106479834981195,0.1811295475637966,0.06876385630685265,0.5202020202020202,1.1864551332776903,-0.5882316350771943,1.6123640922241789,-0.009278630455367032,-0.033155433129609,-0.6202172971120963,0.15893086562035,0.009462562111673893,0.1s,20.0,22.0,21.0
s15,Quarter-End Window Dressing,"Lakonishok, Shleifer et al. (1991)",0.015981920207705613,0.29431806652254927,0.13733603249548382,-0.07934874860313808,0.20141363901829148,0.04618222234521964,0.43846153846153846,1.2002345139896817,3.4193557809280093,0.0,0.0037691709009484153,-0.008093888562098524,0.8345499459028803,0.06495797079992131,0.00558874884624799,1.3s,31.0,11.0,21.0
s29,Stealth Volatility Filter,Garman & Klass (1980),0.08872514540256948,0.6661464398622282,0.8336721531019702,-0.3339720535345792,0.26566637676281785,0.17087513636028223,0.5392630241423125,1.135949090667538,-0.08360782061101482,0.942333965405542,-0.022633121496311692,-0.06275286218472904,-0.7812084799131922,0.9830187464165693,-0.007468626240340259,0.0s,7.0,36.0,21.5
s08,Media Pessimism Reversal,Tetlock (2007) SSRN 685145,0.008744388635924194,0.3146019837480065,0.06833189678223402,-0.10467971424148544,0.08353470105728203,0.030812961143868316,0.38848920863309355,1.4899516266789887,-4.2512474467266435,0.0,0.0,0.0,0.0,0.03198936622246357,0.005746592003798151,0.2s,29.0,15.5,22.25
s45,Implied-Realized Vol Spread,Bollen & Whaley (2004) SSRN 540523,0.028397358642112236,0.305964010448542,0.07575985297235684,-0.21251489072837834,0.1336252652450964,0.06629448617258078,0.4965034965034965,1.435292918062918,4.1227739311845015,0.0,0.0,0.0,0.0,0.14793040763069348,0.002030321954471597,0.1s,30.0,15.5,22.75
s11,Intraday Momentum Gap,Gao et al. (2018) SSRN 2440866,0.0011668457264972787,0.3384680542917594,0.335803108052165,-0.37884845115885657,0.0030799801950569506,0.10813771701789616,0.32154882154882153,1.1117951968246946,0.22797032434762055,1.1836110873794912,-0.00018986522629549363,-0.04064824019415038,0.04101032213640058,0.3921666585835342,-0.011789002161824465,0.0s,27.0,19.0,23.0
s32,Range Compression Breakout,Bollinger (2001) / Mandelbrot (1963),0.07226502597546336,0.6513982136570339,0.7430463021847036,-0.18707079726596312,0.38629773877919815,0.1203165541644269,0.5395705521472393,1.1357778551884161,-0.694650361835889,0.9678363087898213,-0.024989874035178272,-0.03315543312960887,-1.368210548783913,0.4868421926100116,0.018301635454893463,0.1s,9.0,38.0,23.5
